cl_id	cl_provider_name	cl_provider_catalog_id	cl_cell_type	cl_disease_detail
CAL51	Leibniz Institute	ACC-302	epithelial-like	breast carcinoma
MCF7	ATCC	HTB-22	epithelial	breast adenocarcinoma
HME1	ATCC	CRL-4010	epithelial	normal
SKBR3	ATCC	HTB-30	epithelial	breast adenocarcinoma
MDAMB231	ATCC	HTB-26	epithelial	breast adenocarcinoma
BT20	ATCC	HTB-19		breast ductal carcinoma
BT549	ATCC	HTB-122		breast ductal carcinoma
CAMA1	ATCC	HTB-21		breast adenocarcinoma
HC1143	ATCC	CRL-2321		breast ductal carcinoma
HCC1395	ATCC	CRL-2324		breast ductal carcinoma
HCC1419	ATCC	CRL-2326		breast ductal carcinoma
HCC1428	ATCC	CRL-2327		breast adenocarcinoma
HCC1806	ATCC	CRL-2335		squamous cell carcinoma
HCC1937	ATCC	CRL-2336		breast ductal carcinoma
HCC1954	ATCC	CRL-2338		breast ductal carcinoma
HCC38	ATCC	CRL-2314		breast ductal carcinoma
HCC70	ATCC	CRL-2315		breast ductal carcinoma
HS578T	ATCC	HTB-126		breast ductal carcinoma
MDAMB134	ATCC	HTB-23		breast ductal carcinoma
MDAMB157	ATCC	HTB-24		breast medullary carcinoma
MDAMB361	ATCC	HTB-27		breast adenocarcinoma
MDAMB436	ATCC	HTB-130		breast adenocarcinoma
MDAMB453	ATCC	HTB-131		breast carcinoma
MDAMB468	ATCC	HTB-132		breast adenocarcinoma
T47D	ATCC	HTB-133		breast carcinoma
HCC1500	ATCC	CRL-2329	epithelial	breast ductal carcinoma
MCF10A	ATCC	CRL-10317	epithelial	breast fibrocystic disease
SUM1315	Asterand	SUM-1315MO2		unknown
SUM149	Asterand	SUM-149PT		unknown
SUM159	Asterand	SUM-159PT		unknown
CAL120	Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	ACC-459		breast adenocarcinoma
CAL851	Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	ACC-440	epithelial	breast adenocarcinoma
PDX1258	Dan Stover (Harvard Medical School)		epithelial	breast carcinoma
PDX1328	Caitlin Mills (Harvard Medical School)		epithelial	breast carcinoma
PDXHCI002	Dan Stover (Harvard Medical School)		epithelial	breast medullary carcinoma
